0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
313,"Apart from vagabonds, criminals, prostitutes, in short the actual lumpen proletariat, this social stratum consists of three categories.","Abgesehn von Vagabunden, Verbrechern, Prostituierten, kurz dem eigentlichen Lumpenproletariat, besteht diese Gesellschaftsschichte aus drei Kategorien.",3.200802048200738
314,"First, those able to work.",Erstens Arbeitsfähige.,4.310497300364113
315,"One need only glance superficially at the statistics of English pauperism to find that the quantity of paupers increases with every crisis of trade, and diminishes with every revival.","Man braucht die Statistik des englischen Pauperismus nur oberflächlich anzusehn, und man findet, daß seine Masse mit jeder Krise schwillt und mit jeder Wiederbelebung des Geschäfts abnimmt.",2.8220108761252054
316,"Second, orphans and pauper children.",Zweitens: Waisen- und Pauperkinder.,2.827113007544442
317,"These are candidates for the industrial reserve army, and in times of great prosperity, such as the year 1860, for instance, they are enrolled in the army of active workers both speedily and in large numbers.","Sie sind Kandidaten der industriellen Reservearmee und werden in Zeiten großen Aufschwungs, wie 1860 z.B., rasch und massenhaft in die aktive Arbeiterarmee einrolliert.",2.614280911762881
318,"Third, the demoralized, the ragged, and those unable to work, chiefly people who succumb to their incapacity for adaptation, an incapacity which results from the division of labour; people who have lived beyond the worker’s average life-span; and the victims of industry, whose number increases with the growth of dangerous machinery, of mines, chemical works, etc., the mutilated, the sickly, the widows, etc. Pauperism is the hospital of the active labour-army and the dead weight of the industrial reserve army.","Drittens: Verkommene, Verlumpte, Arbeitsunfähige. Es sind namentlich Individuen, die an ihrer durch die Teilung der Arbeit verursachten Unbeweglichkeit untergehn, solche, die über das Normalalter eines Arbeiters hinausleben, endlich die Opfer der Industrie, deren Zahl mit gefährlicher Maschinerie, Bergwerksbau, chemischen Fabriken etc. wächst, Verstümmelte, Verkrankte, Witwen etc. Der Pauperismus bildet das Invalidenhaus der aktiven Arbeiterarmee und das tote Gewicht der industriellen Reservearmee.",3.079967114847543
319,"Its production is included in that of the relative surplus population, its necessity is implied by their necessity; along with the surplus population, pauperism forms a condition of capitalist production, and of the capitalist development of wealth.","Seine Produktion ist eingeschlossen in der Produktion der relativen Übervölkerung, seine Notwendigkeit in ihrer Notwendigkeit, mit ihr bildet er eine Existenzbedingung der kapitalistischen Produktion und Entwicklung des Reichtums.",2.3938080460964297
320,It forms part of the faux frais* of capitalist production: but capital usually knows how to transfer these from its own shoulders to those of the working class and the petty bourgeoisie.,"Er gehört zu den faux frais der kapitalistischen Produktion, die das Kapital jedoch großenteils von sich selbst ab auf die Schultern der Arbeiterklasse und der kleinen Mittelklasse zu wälzen weiß.",2.855552585356231
321,"The greater the social wealth, the functioning capital, the extent and energy of its growth, and therefore also the greater the absolute mass of the proletariat and the productivity of its labour, the greater is the industrial reserve army.","Je größer der gesellschaftliche Reichtum, das funktionierende Kapital, Umfang und Energie seines Wachstums, also auch die absolute Größe des Proletariats und die Produktivkraft seiner Arbeit, desto größer die industrielle Reservearmee.",2.6863210430393574
322,"The same causes which develop the expansive power of capital, also develop the labour-power at its disposal.",Die disponible Arbeitskraft wird durch dieselben Ursachen entwickelt wie die Expansivkraft des Kapitals.,2.854098747225994
323,The relative mass of the industrial reserve army thus increases with the potential energy of wealth.,Die verhältnismäßige Größe der industriellen Reservearmee wächst also mit den Potenzen des Reichtums.,3.2814799660191887
324,"But the greater this reserve army in proportion to the active labour-army, the greater is the mass of a consolidated surplus population, whose misery is in inverse ratio to the amount of torture it has to undergo in the form of labour.","Je größer aber diese Reservearmee im Verhältnis zur aktiven Arbeiterarmee, desto massenhafter die konsolidierte Übervölkerung, deren Elend im umgekehrten Verhältnis zu ihrer Arbeitsqual steht.",3.208685049537904
325,"The more extensive, finally, the pauperized sections of the working class and the industrial reserve army, the greater is official pauperism.","Je größer endlich die Lazarusschichte der Arbeiterklasse und die industrielle Reserve- armee, desto größer der offizielle Pauperismus.",2.588184246439842
326,This is the absolute general law of capitalist accumulation.,"Dies ist das absolute, allgemeine Gesetz der kapitalistischen Akkumulation.",2.287700979764285
327,"Like all other laws, it is modified in its working by many circumstances, the analysis of which does not concern us here.","Es wird gleich allen andren Gesetzen in seiner Verwirklichung durch mannigfache Umstände modifiziert, deren Analyse nicht hierher gehört.",2.8114018071544247
328,We can now understand the foolishness of the economic wisdom which preaches to the workers that they should adapt their numbers to the valorization requirements of capital.,"Man begreift die Narrheit der ökonomischen Weisheit, die den Arbeitern predigt, ihre Zahl den Verwertungsbedürfnissen des Kapitals anzupassen.",2.9237727143792482
329,The mechanism of capitalist production and accumulation itself constantly effects this adjustment.,Der Mechanismus der kapitalistischen Produktion und Akkumulation paßt diese Zahl beständig diesen Verwertungsbedürfnissen an.,2.7486303400425367
330,"The first word of this adaptation is the creation of a relative surplus population, or industrial reserve army. Its last word is the misery of constantly expanding strata of the active army of labour, and the dead weight of pauperism.","Erstes Wort dieser Anpassung ist die Schöpfung einer relativen Übervölkerung oder industriellen Reservearmee, letztes Wort das Elend stets wachsender Schichten der aktiven Arbeiterarmee und das tote Gewicht des Pauperismus.",2.848131671896363
331,"On the basis of capitalism, a system in which the worker does not employ the means of production, but the means of production employ the worker, the law by which a constantly increasing quantity of means of production may be set in motion by a progressively diminishing expenditure of human power, thanks to the advance in the productivity of social labour, undergoes a complete inversion, and is expressed thus: the higher the productivity of labour, the greater is the pressure of the workers on the means of employment, the more precarious therefore becomes the condition for their existence, namely the sale of their own labour-power for the increase of alien wealth, or in other words the self-valorization of capital.","Das Gesetz, wonach eine immer wachsende Masse von Produktionsmitteln, dank dem Fortschritt in der Produktivität der gesellschaftlichen Arbeit, mit einer progressiv abnehmenden Ausgabe von Menschenkraft in Bewegung gesetzt werden kann - dies Gesetz drückt sich auf kapitalistischer Grundlage, wo nicht der Arbeiter die Arbeitsmittel, sondern die Arbeitsmittel den Arbeiter anwenden, darin aus, daß, je höher die Produktivkraft der Arbeit, desto größer der Druck der Arbeiter auf ihre Beschäftigungsmittel, desto prekärer also ihre Existenzbedingung: Verkauf der eignen Kraft zur Vermehrung des fremden Reichtums oder zur Selbstverwertung des Kapitals.",2.954005552925123
332,"The fact that the means of production and the productivity of labour increase more rapidly than the productive population expresses itself, therefore, under capitalism, in the inverse form that the working population always increases more rapidly than the valorization requirements of capital.","Rascheres Wachstum der Produktionsmittel und der Produktivität der Arbeit als der produktiven Bevölkerung drückt sich kapitalistisch also umgekehrt darin aus, daß die Arbeiterbevölkerung stets rascher wächst als das Verwertungsbedürfnis des Kapitals.",2.8706385426249796
333,"We saw in Part IV, when analysing the production of relative surplus-value, that within the capitalist system all methods for raising the social productivity of labour are put into effect at the cost of the individual worker; that all means for the development of production undergo a dialectical inversion so that they become means of domination and exploitation of the producers; they distort the worker into a fragment of a man, they degrade him to the level of an appendage of a machine, they destroy the actual content of his labour by turning it into a torment; they alienate [entfremden] from him the intellectual potentialities of the labour process in the same proportion as science is incorporated in it as an independent power; they deform the conditions under which he works, subject him during the labour process to a despotism the more hateful for its meanness; they transform his life-time into working-time, and drag his wife and child beneath the wheels of the juggernaut of capital.","Wir sahen im vierten Abschnitt bei Analyse der Produktion des relativen Mehrwerts: innerhalb des kapitalistischen Systems vollziehn sich alle Methoden zur Steigerung der gesellschaftlichen Produktivkraft der Arbeit auf Kosten des individuellen Arbeiters; alle Mittel zur Entwicklung der Produktion schlagen um in Beherrschungs- und Exploitationsmittel des Produzenten, verstümmeln den Arbeiter in einen Teilmenschen, entwürdigen ihn zum Anhängsel der Maschine, vernichten mit der Qual seiner Arbeit ihren Inhalt, entfremden ihm die geistigen Potenzen des Arbeitsprozesses im selben Maße, worin letzterem die Wissenschaft als selbständige Potenz einverleibt wird; sie verunstalten die Bedingungen, innerhalb deren er arbeitet, unterwerfen ihn während des Arbeitsprozesses der kleinlichst gehässigen Despotie, verwandeln seine Lebenszeit in Arbeitszeit, schleudern sein Weib und Kind unter das Juggernaut-Rad des Kapitals.",3.05219512027171
